participant	task	step	word	lemma	pos	z	start_obj	end_obj
1_1a	1	11808	NA	NA	NA	5	None	None
1_1a	1	11814	recording	record	VERB	5	None	None
1_1a	1	11844	recording	record	VERB	3	None	None
1_1a	1	11922	okay	okay	INTJ	3	None	None
1_1a	1	11952	okay	okay	INTJ	1	None	None
1_1a	1	11997	okay	okay	INTJ	3	None	None
1_1a	1	12006	okay	okay	INTJ	5	None	None
1_1a	1	12060	okay	okay	INTJ	3	None	None
1_1a	1	12147	NA	NA	NA	3	None	None
1_1a	1	12192	start	start	VERB	3	None	None
1_1a	1	12204	start	start	VERB	6	None	None
1_1a	1	12228	by	by	ADP	6	None	None
1_1a	1	12237	clearing	clear	VERB	6	None	None
1_1a	1	12249	clearing	clear	VERB	2	None	Lamp
1_1a	1	12300	off	off	ADP	2	None	Lamp
1_1a	1	12335	the	the	DET	2	None	Lamp
1_1a	1	12354	table	table	NOUN	2	None	Lamp
1_1a	1	12380	NA	NA	NA	2	None	Lamp
1_1a	1	12420	NA	NA	NA	7	Lamp	Book
1_1a	1	12474	NA	NA	NA	2	Book	Book
1_1a	1	12501	NA	NA	NA	1	Book	Book
1_1a	1	12515	we	-PRON-	PRON	1	Book	Book
1_1a	1	12546	we	-PRON-	PRON	3	Book	Book
1_1a	1	12555	we	-PRON-	PRON	5	Book	Book
1_1a	1	12586	have	have	AUX	5	Book	Book
1_1a	1	12609	have	have	AUX	6	Book	Book
1_1a	1	12613	a	a	DET	6	Book	Book
1_1a	1	12622	book	book	NOUN	6	Book	Book
1_1a	1	12676	that	that	DET	6	Book	Book
1_1a	1	12708	that	that	DET	4	Book	Book
1_1a	1	12712	NA	NA	NA	4	Book	Book
1_1a	1	12726	NA	NA	NA	8	Book	Book
1_1a	1	12748	move	move	VERB	8	Book	Book
1_1a	1	12757	NA	NA	NA	8	Book	Book
1_1a	1	12834	NA	NA	NA	2	Book	Book
1_1a	1	12871	over	over	ADV	2	Book	Book
1_1a	1	12915	here	here	ADV	2	Book	Book
1_1a	1	12951	NA	NA	NA	2	Book	Book
1_1a	1	12987	NA	NA	NA	1	Book	Book
1_1a	1	13023	NA	NA	NA	9	Book	None
1_1a	1	13086	NA	NA	NA	4	None	None
1_1a	1	13095	NA	NA	NA	7	None	None
1_1a	1	13140	NA	NA	NA	2	None	Lamp
1_1a	1	13157	and	and	CCONJ	2	None	Lamp
1_1a	1	13220	're	be	AUX	2	None	Lamp
1_1a	1	13229	going	go	VERB	2	None	Lamp
1_1a	1	13238	to	to	PART	2	None	Lamp
1_1a	1	13239	to	to	PART	1	Lamp	Lamp
1_1a	1	13247	move	move	VERB	1	Lamp	Lamp
1_1a	1	13256	NA	NA	NA	1	Lamp	Lamp
1_1a	1	13265	lamp	lamp	NOUN	1	Lamp	Lamp
1_1a	1	13275	lamp	lamp	NOUN	3	Lamp	Lamp
1_1a	1	13284	lamp	lamp	NOUN	6	Lamp	Lamp
1_1a	1	13301	over	over	ADV	6	Lamp	Lamp
1_1a	1	13328	here	here	ADV	6	Lamp	Lamp
1_1a	1	13347	here	here	ADV	2	Lamp	Lamp
1_1a	1	13364	just	just	ADV	2	Lamp	Lamp
1_1a	1	13391	so	so	ADV	2	Lamp	Lamp
1_1a	1	13409	we	-PRON-	PRON	2	Lamp	Lamp
1_1a	1	13418	can	can	VERB	2	Lamp	Lamp
1_1a	1	13428	can	can	VERB	1	Lamp	Lamp
1_1a	1	13436	set	set	VERB	1	Lamp	Lamp
1_1a	1	13454	NA	NA	NA	1	Lamp	Lamp
1_1a	1	13472	table	table	NOUN	1	Lamp	Lamp
1_1a	1	13490	NA	NA	NA	1	Lamp	Lamp
1_1a	1	13554	NA	NA	NA	3	Lamp	Lamp
1_1a	1	13563	NA	NA	NA	7	Lamp	None
1_1a	1	13626	NA	NA	NA	2	None	None
1_1a	1	13651	and	and	CCONJ	2	None	None
1_1a	1	13689	and	and	CCONJ	7	None	Bear
1_1a	1	13723	'm	be	AUX	7	None	Bear
1_1a	1	13732	going	go	VERB	7	None	Bear
1_1a	1	13741	to	to	PART	7	None	Bear
1_1a	1	13750	take	take	VERB	7	None	Bear
1_1a	1	13752	take	take	VERB	2	Bear	Bear
1_1a	1	13768	your	-PRON-	DET	2	Bear	Bear
1_1a	1	13779	your	-PRON-	DET	1	Bear	Bear
1_1a	1	13786	teddy	teddy	NOUN	1	Bear	Bear
1_1a	1	13831	a	a	DET	1	Bear	Bear
1_1a	1	13833	a	a	DET	3	Bear	Bear
1_1a	1	13858	way	way	NOUN	3	Bear	Bear
1_1a	1	13860	way	way	NOUN	6	Bear	Bear
1_1a	1	13885	you	-PRON-	PRON	6	Bear	Bear
1_1a	1	13887	you	-PRON-	PRON	3	Bear	Bear
1_1a	1	13905	you	-PRON-	PRON	7	Bear	Bear
1_1a	1	13914	you	-PRON-	PRON	2	Bear	Bear
1_1a	1	13957	can	can	VERB	2	Bear	Bear
1_1a	1	13975	have	have	AUX	2	Bear	Bear
1_1a	1	13993	him	-PRON-	PRON	2	Bear	Bear
1_1a	1	14011	back	back	ADP	2	Bear	Bear
1_1a	1	14020	later	later	ADV	2	Bear	Bear
1_1a	1	14047	NA	NA	NA	2	Bear	Bear
1_1a	1	14220	NA	NA	NA	1	Bear	Bear
1_1a	1	14229	NA	NA	NA	3	Bear	Bear
1_1a	1	14256	NA	NA	NA	6	Bear	Bear
1_1a	1	14301	NA	NA	NA	2	Bear	Bear
1_1a	1	14373	NA	NA	NA	1	Bear	Bear
1_1a	1	14418	NA	NA	NA	3	Bear	Bear
1_1a	1	14445	NA	NA	NA	6	Bear	None
1_1a	1	14535	NA	NA	NA	2	None	None
1_1a	1	14666	okay	okay	INTJ	2	None	None
1_1a	1	14688	okay	okay	INTJ	7	None	None
1_1a	1	14719	now	now	ADV	7	None	None
1_1a	1	14728	're	be	AUX	7	None	None
1_1a	1	14737	going	go	VERB	7	None	None
1_1a	1	14746	NA	NA	NA	7	None	None
1_1a	1	14751	NA	NA	NA	2	None	None
1_1a	1	14755	set	set	VERB	2	None	None
1_1a	1	14760	set	set	VERB	1	None	None
1_1a	1	14772	NA	NA	NA	1	None	None
1_1a	1	14781	table	table	NOUN	1	None	None
1_1a	1	14790	so	so	SCONJ	1	None	None
1_1a	1	14805	so	so	SCONJ	3	None	None
1_1a	1	14832	so	so	SCONJ	5	None	None
1_1a	1	14859	so	so	SCONJ	3	None	None
1_1a	1	14868	so	so	SCONJ	1	None	None
1_1a	1	14895	so	so	SCONJ	3	None	None
1_1a	1	14904	so	so	SCONJ	5	None	None
1_1a	1	14908	we	-PRON-	PRON	5	None	None
1_1a	1	14931	we	-PRON-	PRON	3	None	None
1_1a	1	14935	have	have	AUX	3	None	None
1_1a	1	14949	have	have	AUX	6	None	None
1_1a	1	14952	NA	NA	NA	6	None	None
1_1a	1	14962	start	start	VERB	6	None	None
1_1a	1	14989	by	by	ADP	6	None	None
1_1a	1	15030	by	by	ADP	2	None	None
1_1a	1	15039	by	by	ADP	7	None	None
1_1a	1	15061	putting	put	VERB	7	None	None
1_1a	1	15084	putting	put	VERB	2	None	Lamp
1_1a	1	15088	your	-PRON-	DET	2	None	Lamp
1_1a	1	15138	your	-PRON-	DET	1	Lamp	Lamp
1_1a	1	15156	your	-PRON-	DET	3	Lamp	Lamp
1_1a	1	15183	your	-PRON-	DET	7	Lamp	Lamp
1_1a	1	15187	bull	bull	NOUN	7	Lamp	Lamp
1_1a	1	15223	down	down	ADP	7	Lamp	Lamp
1_1a	1	15237	down	down	ADP	2	Lamp	Lamp
1_1a	1	15240	on	on	ADP	2	Lamp	Lamp
1_1a	1	15259	NA	NA	NA	2	Lamp	Lamp
1_1a	1	15268	ground	ground	NOUN	2	Lamp	Lamp
1_1a	1	15273	ground	ground	NOUN	1	Lamp	Banana
1_1a	1	15286	NA	NA	NA	1	Lamp	Banana
1_1a	1	15318	NA	NA	NA	3	Banana	Banana
1_1a	1	15327	NA	NA	NA	6	Banana	Bowl
1_1a	1	15372	NA	NA	NA	5	Bowl	Bowl
1_1a	1	15390	NA	NA	NA	3	Bowl	Bowl
1_1a	1	15399	NA	NA	NA	1	Bowl	Bowl
1_1a	1	15444	NA	NA	NA	3	Bowl	Bowl
1_1a	1	15498	NA	NA	NA	7	Bowl	Bowl
1_1a	1	15537	so	so	ADV	7	Bowl	Bowl
1_1a	1	15582	NA	NA	NA	7	Bowl	Bowl
1_1a	1	15633	NA	NA	NA	2	Bowl	Bowl
1_1a	1	15642	NA	NA	NA	7	Bowl	Bowl
1_1a	1	15651	NA	NA	NA	2	Bowl	Bowl
1_1a	1	15696	NA	NA	NA	1	Bowl	Bowl
1_1a	1	15726	's	be	AUX	1	Bowl	Bowl
1_1a	1	15768	's	be	AUX	3	Bowl	Bowl
1_1a	1	15771	the	the	DET	3	Bowl	Bowl
1_1a	1	15780	ball	ball	NOUN	3	Bowl	Bowl
1_1a	1	15786	ball	ball	NOUN	6	Bowl	None
1_1a	1	15807	down	down	ADP	6	Bowl	None
1_1a	1	15834	NA	NA	NA	6	Bowl	None
1_1a	1	15858	NA	NA	NA	1	None	None
1_1a	1	15876	NA	NA	NA	3	None	Apple
1_1a	1	15894	NA	NA	NA	6	Apple	Apple
1_1a	1	15914	and	and	CCONJ	6	Apple	Apple
1_1a	1	15939	and	and	CCONJ	3	Apple	Apple
1_1a	1	15959	then	then	ADV	3	Apple	Apple
1_1a	1	15975	then	then	ADV	1	Apple	Apple
1_1a	1	15986	we	-PRON-	PRON	1	Apple	Apple
1_1a	1	16022	have	have	AUX	1	Apple	Apple
1_1a	1	16040	to	to	PART	1	Apple	Apple
1_1a	1	16047	to	to	PART	3	Apple	Apple
1_1a	1	16049	put	put	VERB	3	Apple	Apple
1_1a	1	16056	put	put	VERB	7	Apple	Apple
1_1a	1	16058	your	-PRON-	DET	7	Apple	Apple
1_1a	1	16076	fruit	fruit	NOUN	7	Apple	Apple
1_1a	1	16103	in	in	ADP	7	Apple	Apple
1_1a	1	16110	in	in	ADP	2	Apple	Apple
1_1a	1	16112	the	the	DET	2	Apple	Apple
1_1a	1	16121	bowl	bowl	NOUN	2	Apple	Apple
1_1a	1	16184	NA	NA	NA	2	Apple	Apple
1_1a	1	16227	NA	NA	NA	1	Apple	Apple
1_1a	1	16317	NA	NA	NA	3	Apple	Apple
1_1a	1	16326	NA	NA	NA	6	Apple	Banana
1_1a	1	16380	NA	NA	NA	5	Banana	Banana
1_1a	1	16407	NA	NA	NA	3	Banana	Banana
1_1a	1	16425	NA	NA	NA	1	Banana	Banana
1_1a	1	16443	NA	NA	NA	3	Banana	Banana
1_1a	1	16461	NA	NA	NA	1	Banana	Banana
1_1a	1	16481	banana	banana	NOUN	1	Banana	Banana
1_1a	1	16497	banana	banana	NOUN	3	Banana	Banana
1_1a	1	16515	banana	banana	NOUN	1	Banana	Banana
1_1a	1	16526	can	can	VERB	1	Banana	Banana
1_1a	1	16569	can	can	VERB	7	Banana	Banana
1_1a	1	16571	go	go	VERB	7	Banana	Banana
1_1a	1	16589	right	right	ADV	7	Banana	Banana
1_1a	1	16598	next	next	ADV	7	Banana	Banana
1_1a	1	16634	to	to	ADP	7	Banana	Banana
1_1a	1	16641	to	to	ADP	2	Banana	Banana
1_1a	1	16643	NA	NA	NA	2	Banana	Banana
1_1a	1	16652	Apple	Apple	PROPN	2	Banana	Banana
1_1a	1	16679	NA	NA	NA	2	Banana	Banana
1_1a	1	16686	NA	NA	NA	1	Banana	Banana
1_1a	1	16776	NA	NA	NA	3	Banana	Banana
1_1a	1	16785	NA	NA	NA	5	Banana	Banana
1_1a	1	16812	NA	NA	NA	7	Banana	Bowl
1_1a	1	16839	NA	NA	NA	2	Bowl	Bowl
1_1a	1	16840	and	and	CCONJ	2	Bowl	Bowl
1_1a	1	16848	and	and	CCONJ	4	Bowl	Bowl
